SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
深康佳Ｂ,2018-01-01,康佳集团股份有限公司,2.265,3.3658,200016,55.355,2018-12-31,1.455,1.632,5.075,23.078,0.170805,46126797341.33,8.494,40.012,668618421.57,0.721,19.175,11.676,71.347,47.711,0.963
深康佳Ｂ,2019-01-01,康佳集团股份有限公司,2.332,3.3508,200016,70.836,2019-12-31,0.561,1.459,2.628,22.174,0.088056,55119125478.72,9.65,29.11,334936115.34,0.908,29.8,12.422,76.691,19.495,1.148
深华发Ｂ,2018-01-01,深圳中恒华发股份有限公司,1.906,1.1441,200020,77.073,2018-12-31,0.529,1.022,1.017,3.495,0.011637,637046707.03,9.188,-2.012,3295022.72,0.878,11.639,4.797,47.501,-25.756,1.093
深华发Ｂ,2019-01-01,深圳中恒华发股份有限公司,2.266,1.1634,200020,87.514,2019-12-31,0.887,1.172,1.657,3.736,0.019282,721557440.51,9.766,-0.474,5460049.15,1.193,18.198,5.647,46.362,13.266,1.513
深纺织Ｂ,2018-01-01,深圳市纺织(集团)股份有限公司,0.434,4.642,200045,165.009,2018-12-31,-0.521,0.289,-0.968,1.548,-0.044948,1272356771.34,3.193,10.093,-62302707.38,2.5,111.748,3.53,25.107,-13.77,2.931
深纺织Ｂ,2019-01-01,深圳市纺织(集团)股份有限公司,0.827,5.3555,200045,341.4,2019-12-31,0.43,0.472,0.722,2.282,0.038638,2158184855.71,4.747,-1.901,-18526678.63,3.779,84.346,4.829,14.935,69.621,4.586
东旭B,2018-01-01,东旭光电科技股份有限公司,0.613,5.6753,200413,131.579,2018-12-31,3.065,0.4,6.653,2.685,0.377576,28211700021.12,5.511,5.779,2268828086.18,1.542,72.828,2.539,53.947,63.291,1.671
东旭B,2019-01-01,东旭光电科技股份有限公司,0.408,5.3446,200413,90.419,2019-12-31,-2.171,0.25,-4.974,1.831,-0.265862,17528752785.8,4.074,-6.635,-1558120438.9,1.233,38.911,1.35,53.49,-37.867,1.358
宁通信B,2018-01-01,南京普天通信股份有限公司,1.13,1.6525,200468,78.945,2018-12-31,0.277,0.942,1.649,17.185,0.027252,1995627772.6,4.23,0.303,24113315.78,0.914,16.115,2.319,76.989,-11.479,1.09
宁通信B,2019-01-01,南京普天通信股份有限公司,0.87,0.7886,200468,78.517,2019-12-31,-8.964,0.709,-99.732,11.99,-0.786458,1338284194.21,4.383,-22.103,-158940459.32,0.822,19.599,1.633,81.834,-32.939,0.979
京东方Ｂ,2018-01-01,京东方科技集团股份有限公司,0.974,2.4673,200725,119.678,2018-12-31,1.227,0.347,4.001,0.896,0.098715,97108864935.0,7.382,18.711,2879874073.0,1.409,82.73,5.487,60.412,3.527,1.602
京东方Ｂ,2019-01-01,京东方科技集团股份有限公司,1.137,2.5014,200725,104.563,2019-12-31,0.595,0.36,2.018,0.914,0.055136,116059590164.0,8.075,11.967,-476241403.0,1.174,72.689,6.106,58.563,19.515,1.333
朗科科技,2018-01-01,深圳市朗科科技股份有限公司,1.321,7.1481,300042,567.107,2018-12-31,6.613,0.991,6.754,20.991,0.482759,966909462.65,23.558,4.945,64496644.42,17.165,425.185,18.678,4.383,4.1,18.016
朗科科技,2019-01-01,深圳市朗科科技股份有限公司,1.484,5.0129,300042,829.209,2019-12-31,6.895,1.146,7.152,25.908,0.358543,1194123466.43,10.527,8.692,71852057.58,8.518,70.758,13.743,7.461,23.499,10.533
台基股份,2018-01-01,湖北台基半导体股份有限公司,0.721,4.2028,300046,298.995,2018-12-31,8.263,0.403,9.576,3.034,0.402457,418108792.96,2.774,2.405,85771178.13,3.397,184.671,4.647,14.727,50.047,4.011
台基股份,2019-01-01,湖北台基半导体股份有限公司,0.416,2.863,300046,180.015,2019-12-31,-23.695,0.285,-36.061,2.126,-1.032418,264937838.14,1.302,-23.194,-221456627.21,2.524,142.698,2.879,24.135,-36.634,3.455
欧比特,2018-01-01,珠海欧比特宇航科技股份有限公司,0.525,4.5615,300053,138.237,2018-12-31,2.77,0.264,2.964,3.15,0.135191,905992734.17,2.146,48.871,94847638.04,2.364,49.311,1.561,21.845,22.622,2.69
欧比特,2019-01-01,珠海欧比特宇航科技股份有限公司,0.437,4.1655,300053,167.342,2019-12-31,-5.81,0.212,-7.992,2.25,-0.33292,851703526.46,1.944,-3.73,-233734945.06,1.777,38.294,1.303,25.859,-5.992,2.177
海兰信,2018-01-01,北京海兰信数据科技股份有限公司,0.526,4.2559,300065,232.86,2018-12-31,4.824,0.351,6.236,10.496,0.265383,769603635.6,2.897,-2.008,137321469.02,3.104,123.9,2.057,21.506,-4.415,3.487
